"","EFT_ln_k","EFT_s","NCC_ln_k","NCC_s","sigma_sq","Sigma_11","Sigma_12","Sigma_22","n_EFT","n_NCC","EFT_est_ln_k","EFT_est_s","NCC_est_ln_k","NCC_est_s","est_sigma_sq","est_Sigma_11","est_Sigma_12","est_Sigma_22","est_con_sigma_sq","est_con_g","red_est_ln_k","red_est_s","red_est_sigma_sq","red_est_Sigma_11","red_est_Sigma_12","red_est_Sigma_22","red_est_con_sigma_sq","red_est_con_g","mse_ln_k","mse_s","err_inprod","EFT_ln_k_mazur","NCC_ln_k_mazur","est_sigma_sq_mazur","est_g_mazur","EFT_ln_k_nl","EFT_s_nl","NCC_ln_k_nl","NCC_s_nl","var_ln_k_nl","var_s_nl","corr_ln_k_s_nl","var_residual_nl","lik_ut_nl","BIC_ut_nl","deriv_offset","p_value_nl","p_value_nl_lrt","mse_ln_k_nl","mse_s_nl","err_inprod_nl","lik_uc","lik_uc_red","lik_con","lik_con_red","F_con","lik_mazur","F_mazur","BIC_lin_uc","BIC_lin_con","BIC_mazur","BIC_nl","mh_dist_lin","mh_dist_nl"
"18",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.28311622039706,0.911078497798273,-6.580327954372,0.926342153407581,1.45185984463361,9.77647292276744,-1.08587019424125,0.171362253414335,1.45185984463361,8.08909601987098,-6.43172208738453,0.918710325602927,1.45185984463361,9.79855662647054,-1.08700432862886,0.171420498209975,1.45185984463361,8.1150960596789,3.08551117191709,0.0826150898351616,-0.48910360507713,-6.81288752031446,-7.01916234394245,1.97939475475509,10.0607743085432,-4.26097889358316,0.62927309245078,-4.66941900713874,0.660138130900793,5.151229,0.1114699,-0.85,0.0255466,86.3974846925821,-123.239726256327,1298.94469659572,0.742318457465589,0.742464584612606,8.76413310266923,0.172893789579404,-1.19617605887466,-920.989101807092,-921.112114205266,-941.122282726521,-941.322237112427,0.194519092225843,-946.682880438593,0.231271152394797,1891.53344674302,1919.41099779967,NA,2474.64966693511,0.476301328968075,1.10530679151948
"19",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.59239712642911,0.848027446777726,-5.90095856934207,0.843388272313596,1.40157754127751,11.1853497919741,-1.33483683338901,0.227239941262896,1.40157754127751,9.79670700432231,-6.24667784788559,0.845707859545661,1.40157754127751,11.3048716115308,-1.33563875941339,0.227245321747823,1.40157754127751,10.0718248186644,2.2549062106946,0.06554376972228,-0.364765483252911,-7.49781027261823,-6.83401071651017,2.14549418138223,10.5698826214872,-4.68509941418485,0.609151209818258,-4.07570037249827,0.596073057469135,7.00984797,0.16947099,-0.88,0.02467928,87.6974449733176,-125.839646817798,1356.66656088696,0.266705486050462,0.210783118881848,8.24648840897921,0.147002709265991,-1.0499095560415,-926.053481977182,-927.12603556599,-944.538376187072,-946.299743914567,1.7327516035931,-967.9996989248,2.1123436945721,1901.6622070832,1926.24318472077,NA,2587.49347495612,0.402333742606046,1.07821213123513
"20",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.84035096399106,0.771809953817736,-6.23462689490967,0.904575448964672,1.46135752496486,5.44950789400327,-0.604853334621093,0.130163821061941,1.46135752496486,7.64761353059098,-6.03748892945037,0.838192701391204,1.46135752496486,5.48837127142871,-0.617939894419326,0.134570490237344,1.46135752496486,7.76865006646998,3.0078595077549,0.0755146319408731,-0.457927323134273,-7.19984821044941,-6.80314167698493,1.93769887482499,10.0950884642907,-4.7965476994612,0.639887665483804,-4.747809067749,0.68269505392365,4.32921175,0.09409887,-0.827,0.0265206,86.3870839741952,-123.218924819553,1290.67581229808,0.547340672831121,0.511480123738706,5.63288119510772,0.130972494202179,-0.808012886038093,-913.950002090771,-914.913745252707,-939.234343359152,-940.207306804366,0.951763675684235,-941.575244711727,0.871101198107092,1877.45524731038,1915.63511906493,NA,2458.13269977661,0.4562300087009,0.876729866175752
"21",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.09723452036931,0.891469237724565,-5.94691540202758,0.763447386944699,1.31298356673657,9.23961814370175,-1.2465231134566,0.233035173951879,1.31298356673657,8.66370548384853,-6.02207496119845,0.827458312334632,1.31298356673657,9.24526710303651,-1.25133414639103,0.237132572521154,1.31298356673657,8.9413791124381,2.30221088312209,0.0646363939168358,-0.372605286690648,-6.7438327175213,-7.35623465793561,2.10387239431504,8.46844684250508,-4.34167092164795,0.631271121541375,-4.47303005183511,0.587034666933172,5.66799417,0.12647235,-0.884,0.02688579,77.4502777506729,-105.345312372508,1287.04244960687,0.34395190251697,0.330912368525418,6.76795513756709,0.160133318973089,-0.981227659076526,-906.214222851346,-907.616324323363,-920.780292289601,-922.763293562832,1.95388888616784,-956.184665031902,2.24038129032231,1861.98368883153,1878.72701692583,NA,2468.73958684123,0.373816032815554,1.05789457991424
"22",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-4.94511693261741,0.687772494969464,-6.37128526259527,0.864678353935076,1.60489483751896,5.84013140316059,-0.597659079320191,0.117086705277201,1.60489483751896,6.91775654425996,-5.65820109760634,0.77622542445227,1.60489483751896,6.34862042951855,-0.660733462681262,0.124910626011291,1.60489483751896,7.03662647156075,4.49856066147745,0.124079424244367,-0.732391549606664,-6.80528761253625,-7.17749661269304,2.12341324120798,9.23245344608113,-3.0957164360933,0.424122269413696,-4.35908678675668,0.583575665875917,3.17023742,0.0662307,-0.779,0.03315877,41.7288961708153,-33.9025492127933,1279.66002324109,0.15099824713553,0.105615669009937,9.43149414305096,0.195708931284114,-1.3108664513493,-930.933304330237,-932.802319257289,-956.016701343159,-957.059806410493,1.02088956780485,-961.165713852219,0.758763451493782,1911.42185178931,1949.19983503295,NA,2525.41749726939,0.678783194641452,1.25306512310633
"23",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.70915572164059,0.803098296970984,-6.20858318266394,0.912574336829096,1.33101543106854,9.07713101713654,-1.05676919297016,0.191927989453619,1.33101543106854,9.95322940833441,-5.95886945215227,0.85783631690004,1.33101543106854,9.1394879643426,-1.07043802812746,0.194924240279373,1.33101543106854,9.98859002758399,2.0377425151579,0.0546920558260048,-0.317418839731748,-6.8822451160706,-6.72944266071368,1.9685037357516,11.4025610743113,-3.67199480877075,0.5195579296251,-4.24586714687756,0.623226117770933,3.35784702,0.08669663,-0.785,0.02912557,62.7186203373252,-75.881997545813,1282.96667361563,0.586276754341313,0.517034215371576,10.1111899075755,0.214566756493658,-1.42088222436398,-911.353135942664,-911.778374683897,-932.890107353774,-933.115726336516,0.219526316790323,-949.338549549582,0.113804650545904,1872.26151501417,1902.94664705418,NA,2490.05134968545,0.337898195033431,1.35981814585481
"24",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.05282645013237,0.812481491161443,-5.33696426153883,0.773176446048229,1.48117586836634,6.96012709082454,-0.765661360804768,0.125815756997429,1.48117586836634,6.19634581738951,-5.1948953558356,0.792828968604836,1.48117586836634,6.98031066479227,-0.762869348430845,0.126201978640267,1.48117586836634,6.35736338079568,2.03590029492308,0.0582171111929972,-0.326744657872509,-6.17001320166302,-6.68832030089484,1.98231841981108,7.87850531725699,-3.37707580983115,0.536228105418769,-3.64496525842106,0.524686084072827,4.77936741,0.08764611,-0.887,0.03320179,36.6448999212528,-23.7345567136682,1181.62207807639,0.422581082718782,0.425528884016275,6.10542239816288,0.153149432915254,-0.922660414299658,-910.347803447771,-911.344424909577,-929.67490540225,-931.223883632283,1.521493628775,-939.352478373969,1.81638539236208,1870.25085002438,1896.51624315113,NA,2339.50959943911,0.357848919806155,0.949991365746795
"25",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.91660151503709,0.800020769288492,-5.72219879855977,0.797403101053851,1.22393637081122,8.00468763677206,-1.12066697252444,0.220943460300044,1.22393637081122,8.73584091696666,-5.81940015679843,0.798711935171171,1.22393637081122,8.0141357408155,-1.12079419297836,0.22094517334679,1.22393637081122,8.75871039082451,3.32126017315043,0.0895013547126262,-0.530197612018835,-7.10802602302812,-6.92921869651927,1.99870196289497,8.3460452909083,-4.28639875077651,0.584658491852485,-4.54756684911473,0.639644327500919,5.71314037,0.15750077,-0.865,0.02099716,122.015276562216,-194.475309995594,1263.92859977468,0.887277424420373,0.867455781180529,5.36113135475756,0.113162130764467,-0.754197151348692,-888.705751664174,-888.818262297213,-904.094550918312,-904.258787979135,0.159731885062297,-943.165244499748,0.203676845740184,1826.96674645719,1845.35553418325,NA,2333.38188955377,0.507665887646673,0.708277041827833
"26",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-7.15144852061215,0.929665114185531,-6.10582369283924,0.921472514306968,1.37403770527472,10.1777968865441,-1.19888162251751,0.191604739728125,1.37403770527472,8.10059108304844,-6.6286361067257,0.925568814246249,1.37403770527472,10.4511297066579,-1.20102321897676,0.191621519401317,1.37403770527472,8.7334594906631,2.76986741807041,0.0698559015178519,-0.42327244004691,-7.57048556974951,-6.57367013205554,1.95826764422118,9.32978744017376,-5.14942315746687,0.682492286037521,-3.95716046297663,0.597532561879004,5.45260598,0.12825995,-0.891,0.02783277,73.2821573325155,-97.0090715361935,1316.17715371422,0.0438293336361656,0.0310938938143624,9.99691178657547,0.17746606842357,-1.27392681144941,-910.746494772146,-913.636839721834,-927.713277534762,-932.419378675559,4.728819405803,-941.660746698122,5.84538389558713,1871.04823267313,1892.59298741615,NA,2535.34523589225,0.419160923932608,1.29091983138235
"27",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.83051893766785,0.895795173031362,-5.75170833741575,0.901795939999644,1.552245623017,7.59834829956227,-0.979612316175813,0.18683265617048,1.552245623017,6.8363095141347,-5.7911136375418,0.898795556515503,1.552245623017,7.59990107724029,-0.979494085164127,0.186841658471532,1.552245623017,6.84375926654171,2.59951403146671,0.0598591270388902,-0.377738618416994,-6.45134433168341,-6.33678271465163,2.13624584556206,8.10652128881227,-3.86875255089193,0.600313917124518,-4.16106000441716,0.646212199417168,4.33838878,0.10845658,-0.84,0.03080416,47.3477958957633,-45.1403486626892,1240.08044867077,0.908436480120497,0.878622435933187,7.50218451581251,0.182328919233231,-1.13448585295533,-930.717863771399,-930.759169427946,-947.120795666749,-947.187311026473,0.0646456297779894,-958.561811265165,0.0802826118723431,1910.99097067164,1931.40802368013,NA,2435.02054867885,0.376920930019876,1.07148153720036
"28",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.02937482846023,0.934648947811685,-7.46511371766351,1.07811454211237,1.37816508882455,10.0234430671781,-0.937724700674061,0.17157699580288,1.37816508882455,13.6525759322541,-6.74724427306187,1.00638174496203,1.37816508882455,10.5387796066708,-0.9892194839241,0.176722589989892,1.37816508882455,13.9000908061608,2.94701527940188,0.0697915014827085,-0.433701430552236,-6.41871948651866,-6.99972748944347,1.90195097398653,17.9062000521689,-4.76505748490873,0.734013297872089,-5.10402856120702,0.744279389737914,6.82324086,0.10407032,-0.761,0.02019318,125.969371603433,-202.383500078028,1426.43001492201,0.807353190043819,0.811067589002665,8.16862643538163,0.186740392710706,-1.18596543956175,-928.682302316966,-930.057087020486,-961.787489192957,-962.960070095201,1.14867252717024,-955.667674238725,1.11714005405224,1906.91984776277,1960.74141073254,NA,2650.476529766,0.437200752016306,1.16674669669171
"29",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.28230570126371,0.743872684871371,-5.92094365233322,0.792162495039643,1.30192412375169,9.01306000059278,-1.26711206735379,0.242281580303043,1.30192412375169,8.41415750175475,-5.60162467679847,0.768017589955507,1.30192412375169,9.11502460872936,-1.27482199370964,0.242864556744565,1.30192412375169,8.5009108754927,2.96163142420129,0.0821371776683978,-0.475145888170199,-6.80824596678264,-7.15918572481473,2.18104885623315,7.66717582948937,-3.63435171060701,0.519460264873719,-3.92237951027516,0.517696844133883,4.7194681,0.12212197,-0.87,0.02827276,66.1683881500187,-82.7815331712,1254.95642091485,0.57159797678369,0.554043086696447,7.91029256892647,0.17481917005096,-1.13208735429149,-903.384606184086,-903.925396611458,-916.876508433129,-917.518618588111,0.626633813284027,-961.916328684966,0.775298787669358,1856.32445549701,1870.91944921289,NA,2427.1313086585,0.480693720131133,1.0964973196797
"30",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.23530076493471,0.887083747360678,-6.03139295338884,0.923845383912799,1.35722873210021,11.3839219689271,-1.40153837793782,0.24075793982019,1.35722873210021,9.90521527747711,-6.13334685916177,0.905464565636739,1.35722873210021,11.3943165678295,-1.39966438172327,0.241095794300688,1.35722873210021,10.022741608092,2.88873840588678,0.0841053865802013,-0.477327110244414,-6.90802657884221,-6.48510244952062,2.09812692242895,10.4216274109558,-4.5563372800446,0.651761421405308,-4.152422181948,0.642723042708859,5.7226712,0.1221598,-0.855,0.02508193,85.9619346075708,-122.368626086304,1295.01906973896,0.543167389587741,0.537071813755126,8.39607016781924,0.192399699164116,-1.21768180893418,-920.409128782354,-920.892483972974,-937.360767453672,-938.111126637785,0.732841147879081,-962.078711977716,0.888202812180906,1890.37350069355,1911.88796725397,NA,2467.66951339162,0.479523631792279,1.2114917018419
"31",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.75063222467922,0.766403087116249,-6.24448199734315,0.849615825980167,1.26797453801067,6.97391664142195,-0.822969430240606,0.154233766504402,1.26797453801067,8.37492252276443,-5.99755711101119,0.808009456548208,1.26797453801067,7.034888540912,-0.833243078283278,0.155964856481711,1.26797453801067,8.38706150030485,2.94693078595428,0.0726283371393034,-0.448167623342287,-7.14234218381114,-7.14043199126873,1.83935514571696,9.74517572944412,-4.04266010999364,0.532289002271261,-4.68215927337664,0.637146451759854,3.36068945,0.07177375,-0.79,0.02562526,97.0752544842577,-144.595265839678,1272.2148785985,0.553438964414279,0.517657036222813,7.76269889913685,0.166412439881233,-1.09834662724142,-889.363578017228,-889.634671439796,-910.110652769307,-910.201232587022,0.0880487780826656,-927.692558475398,2.19695993898207e-05,1828.28239916329,1857.38773788524,NA,2399.83449135732,0.427281262914981,1.04225639675401
"32",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.42980582139561,0.921887247428864,-5.64418221296057,0.880458014761671,1.15760386539692,10.7081733272238,-1.14481709103097,0.178744991575881,1.15760386539692,11.6876337977641,-6.03699401717809,0.901172631095267,1.15760386539692,10.8624744407564,-1.15295403684664,0.179174086905729,1.15760386539692,11.9103617790165,2.90976568105531,0.077125063825298,-0.460246477133346,-6.89518138799206,-6.35638242715336,1.71747452830402,13.5789387934755,-4.51845050672426,0.64229850359452,-4.24174871548054,0.649062897846737,6.71324267,0.1226447,-0.866,0.02068651,123.029218054759,-196.50319298068,1281.42474097759,0.616611322107888,0.611643390240883,6.73821816470325,0.148447368790896,-0.955329635311033,-884.689276964887,-885.422903897276,-908.98012512893,-910.198294896049,1.19372161638452,-921.57456313899,1.37969866099706,1818.93379705861,1855.12668260449,NA,2366.34628897449,0.440507796352723,0.960825473342213
"33",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.62412662686701,0.809630239850727,-5.20935583994505,0.768207551898607,1.38419785098648,11.287756696051,-1.37019484982247,0.227851455964483,1.38419785098648,9.17216908755348,-5.41674123340603,0.788918895874667,1.38419785098648,11.330765397472,-1.37449008004205,0.228280415733778,1.38419785098648,9.19276218085532,3.15798835677626,0.0845439107876921,-0.501966706502432,-6.75830039588913,-6.5903152648447,2.19266571765179,9.3642649034046,-3.8155475076157,0.554904952722456,-3.41110868279574,0.502484253806382,5.12991412,0.09295004,-0.87,0.03112773,45.0909989360779,-40.6267547433184,1240.01990688874,0.85032688571148,0.80990642820693,9.01932682377565,0.209988646666565,-1.31847071897749,-920.74369007321,-920.867100088597,-937.31036089765,-937.451929460142,0.137662904781903,-969.476531491842,0.147767088101751,1891.04262327526,1911.78715414193,NA,2439.41305903416,0.482083012036226,1.31444484265649
